District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Narayanpet,2020-03,61.0,22.418768328445747,36.46158357771261,28.312023460410558,75.37126099706744,9.793548387096774,0.0
Narayanpet,2020-04,205.7,24.656666666666666,38.72575757575758,24.524545454545457,68.44606060606061,11.09,
Narayanpet,2020-05,308.5,27.314076246334313,40.150439882697945,25.2683284457478,68.67771260997067,12.71642228739003,
Narayanpet,2020-06,1425.3,24.836363636363636,34.85030303030303,51.201818181818176,88.70454545454545,13.282727272727273,0.40787878787878784
Narayanpet,2020-07,3411.7,23.604936461388075,31.797360703812316,69.5699413489736,96.84257086999023,10.270381231671553,0.1621700879765396
Narayanpet,2020-08,2336.2,23.482697947214074,30.261974584555233,76.04990224828934,96.3809384164223,9.727352941176472,0.3985294117647059
Narayanpet,2020-09,3938.7,23.51939393939394,31.425454545454546,72.23787878787878,97.64333333333333,8.112765957446808,0.0702127659574468
Narayanpet,2020-10,1493.5,22.29325513196481,31.81348973607038,61.73812316715543,95.17771260997067,0.07278287461773701,6.040978593272172
Narayanpet,2020-11,101.6,18.932424242424243,30.976969696969697,46.60969696969697,90.44121212121212,0.014436619718309857,6.006338028169014
Narayanpet,2020-12,0.0,16.226686217008798,30.891202346041055,36.554545454545455,90.33284457478005,0.003870967741935484,4.8990322580645165
Narayanpet,2021-01,75.0,17.936363636363637,31.48885630498534,39.81524926686217,93.633431085044,,
Narayanpet,2021-02,3.2,16.942857142857143,32.79253246753247,29.01103896103896,81.86688311688312,,
Narayanpet,2021-03,7.1,20.433724340175953,36.5475073313783,18.738709677419354,71.67360703812317,,
Narayanpet,2021-04,474.3,23.94242424242424,37.86545454545455,25.045151515151513,70.83939393939394,0.01303030303030303,9.342727272727272
Narayanpet,2021-05,881.1,25.372147001934234,37.16479690522244,22.990715667311413,53.450290135396514,0.13500967117988394,8.503675048355898
Narayanpet,2021-06,1565.2,23.672727272727272,32.873333333333335,52.165151515151514,90.24484848484849,0.6175757575757576,14.014848484848484
Narayanpet,2021-07,3107.8,23.21466275659824,31.129032258064516,65.91612903225807,94.70263929618768,0.34017595307917886,12.33958944281525
Narayanpet,2021-08,1493.3,23.250146627565982,31.27507331378299,62.888563049853374,92.23929618768328,0.30469208211143695,11.594428152492668
Narayanpet,2021-09,1603.9,22.58878787878788,30.735151515151518,71.15818181818182,96.69666666666667,0.04939393939393939,10.231212121212122
Narayanpet,2021-10,966.1,21.7049853372434,32.7891495601173,54.19149560117302,93.49853372434018,0.006744868035190615,6.552785923753666
Narayanpet,2021-11,360.5,20.830909090909092,30.735757575757575,57.55,93.73909090909092,0.0,0.0
Narayanpet,2021-12,3.0,17.123460410557186,31.00557184750733,42.45571847507331,91.29237536656892,0.01906158357771261,6.602932551319648
Narayanpet,2022-01,10.299999999999999,17.053958944281526,30.960117302052783,40.59032258064516,89.28211143695015,0.006158357771260996,7.490909090909091
Narayanpet,2022-02,0.0,11.214285714285714,36.70357142857143,13.310714285714285,100.0,0.0,64.85714285714286
